"","GEOID","POLY_ID","STATEFP","CD116FP","NAMELSAD","LSAD","CDSESSN","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","f_field_1","f_pref_ind","f_pid","f_GEOID","GEOID2","NUMPOINTS","GHG.QUANTI","vote_index"
"1","0101",145,1,"01","Congressional District 1","C2",116,"G5200","N",15713197908,2275675091,31.0020519,-87.7879717,1,0.572947618,1.075,101,101,51,289453.540984,-0.4
"2","0102",150,1,"02","Congressional District 2","C2",116,"G5200","N",26269902298,303582941,31.7020846,-86.0768417,2,0.106543487,0.983193277,102,102,13,396715.958333,-0.2
"3","0103",146,1,"03","Congressional District 3","C2",116,"G5200","N",19537640555,471223121,33.1505639,-85.7002277,3,-0.723048468,1.267857143,103,103,28,425809,-0.3
"4","0104",148,1,"04","Congressional District 4","C2",116,"G5200","N",23022590138,573214646,34.1181796,-87.2138079,4,-1.64461722,1.211009174,104,104,26,703114.043478,-0.4
"5","0105",147,1,"05","Congressional District 5","C2",116,"G5200","N",9525492193,459955499,34.7552973,-86.7118036,5,0.060961495,0.913907285,105,105,23,196090.636364,-0.4
"6","0106",151,1,"06","Congressional District 6","C2",116,"G5200","N",10803396962,176793844,33.2602125,-86.7134302,6,-0.747860856,1.088235294,106,106,21,827535.568182,-0.4
"7","0107",149,1,"07","Congressional District 7","C2",116,"G5200","N",26301828529,332882012,32.4492349,-87.6405014,7,-0.112629667,0.88,107,107,34,278149.362069,0.4
"8","0200",285,2,"00","Congressional District (at Large)","C1",116,"G5200","N",1478839695958,245481577452,63.347356,-152.8397334,8,-1.313793167,0.659793814,200,200,91,219301.384615,-0.4
"9","0401",357,4,"01","Congressional District 1","C2",116,"G5200","N",142545945366,354110880,34.9710133,-110.7259249,10,-1.149964056,1,401,401,33,711060.021739,0.4
"10","0402",362,4,"02","Congressional District 2","C2",116,"G5200","N",20298527958,138375379,31.9166176,-109.9387277,11,-0.035643457,0.984924623,402,402,8,298041.142857,0.4
"11","0403",358,4,"03","Congressional District 3","C2",116,"G5200","N",40632657178,8409911,32.4223184,-112.4013007,12,-1.459316985,0.896226415,403,403,16,523376.769231,0.4
"12","0404",360,4,"04","Congressional District 4","C2",116,"G5200","N",85987711649,504383238,34.5909175,-113.2045275,13,-1.268929047,1.025773196,404,404,22,157002.085714,-0.4
"13","0405",359,4,"05","Congressional District 5","C2",116,"G5200","N",760073450,2338559,33.3396944,-111.7124237,14,-0.811120293,0.97740113,405,405,5,290023.214286,-0.4
"14","0406",364,4,"06","Congressional District 6","C2",116,"G5200","N",1618660740,11030711,33.6656628,-111.8884711,15,-2.022013711,0.983870968,406,406,8,157238,-0.4
"15","0407",361,4,"07","Congressional District 7","C2",116,"G5200","N",530107625,1651788,33.427819,-112.1187677,16,0.084320352,0.938356164,407,407,3,231527.416667,0.3
"16","0408",365,4,"08","Congressional District 8","C2",116,"G5200","N",1398129833,4067789,33.6955714,-112.2995758,17,-1.074516023,1.033653846,408,408,3,77608.857143,-0.4
