House Vote #624 2019-11-15T12:04:00 - H.R. 4863: United States Export Finance Agency Act of 2019
person,state,district,vote,name,party
400004,AL,4,No,Rep. Robert Aderholt [R],Republican
400029,UT,1,No,Rep. Rob Bishop [R],Republican
400030,GA,2,Aye,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,Aye,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,No,Rep. Kevin Brady [R],Republican
400052,TX,26,No,Rep. Michael Burgess [R],Republican
400057,CA,42,No,Rep. Ken Calvert [R],Republican
400068,TX,31,No,Rep. John Carter [R],Republican
400069,HI,1,Aye,Rep. Ed Case [D],Democrat
400071,OH,1,No,Rep. Steve Chabot [R],Republican
400074,MO,1,Aye,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,Aye,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,No,Rep. Tom Cole [R],Republican
400081,TN,5,Aye,Rep. Jim Cooper [D],Democrat
400093,IL,7,Aye,Rep. Danny Davis [D],Democrat
400097,CA,53,Aye,Rep. Susan Davis [D],Democrat
400100,OR,4,Aye,Rep. Peter DeFazio [D],Democrat
400101,CO,1,Aye,Rep. Diana DeGette [D],Democrat
400103,CT,3,Aye,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,No,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,Aye,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,Aye,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400122,NY,16,Aye,Rep. Eliot Engel [D],Democrat
400124,CA,18,Aye,Rep. Anna Eshoo [D],Democrat
400157,TX,12,No,Rep. Kay Granger [R],Republican
400158,MO,6,Aye,Rep. Sam Graves [R],Republican
400162,AZ,3,Aye,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,Aye,Rep. Alcee Hastings [D],Democrat
400189,MD,5,Aye,Rep. Steny Hoyer [D],Democrat
400199,TX,18,Aye,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,Aye,Rep. Eddie Johnson [D],Democrat
400211,OH,9,Aye,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,Aye,Rep. Ron Kind [D],Democrat
400219,NY,2,No,Rep. Peter “Pete” King [R],Republican
400220,IA,4,No,Rep. Steve King [R],Republican
400230,RI,2,Aye,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,Aye,Rep. Rick Larsen [D],Democrat
400233,CT,1,Aye,Rep. John Larson [D],Democrat
400237,CA,13,Aye,Rep. Barbara Lee [D],Democrat
400240,GA,5,Aye,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,Not Voting,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,Aye,Rep. Nita Lowey [D],Democrat
400247,OK,3,No,Rep. Frank Lucas [R],Republican
400249,MA,8,Aye,Rep. Stephen Lynch [D],Democrat
400251,NY,12,Aye,Rep. Carolyn Maloney [D],Democrat
400259,MN,4,Aye,Rep. Betty McCollum [D],Democrat
400263,MA,2,Aye,Rep. James “Jim” McGovern [D],Democrat
400271,NY,5,Aye,Rep. Gregory Meeks [D],Democrat
400289,NY,10,Aye,Rep. Jerrold Nadler [D],Democrat
400290,CA,32,Aye,Rep. Grace Napolitano [D],Democrat
400291,MA,1,Aye,Rep. Richard Neal [D],Democrat
400297,CA,22,No,Rep. Devin Nunes [R],Republican
400308,NJ,6,Aye,Rep. Frank Pallone Jr. [D],Democrat
400309,NJ,9,Aye,Rep. Bill Pascrell Jr. [D],Democrat
400316,MN,7,Aye,Rep. Collin Peterson [D],Democrat
400326,NC,4,Aye,Rep. David Price [D],Democrat
400340,KY,5,No,Rep. Harold “Hal” Rogers [R],Republican
400341,AL,3,No,Rep. Mike Rogers [R],Republican
400347,CA,40,Aye,Rep. Lucille Roybal-Allard [D],Democrat
400349,MD,2,Aye,Rep. A. Dutch Ruppersberger [D],Democrat
400350,IL,1,Aye,Rep. Bobby Rush [D],Democrat
400352,OH,13,Aye,Rep. Tim Ryan [D],Democrat
400355,CA,38,Aye,Rep. Linda Sánchez [D],Democrat
400360,IL,9,Aye,Rep. Janice “Jan” Schakowsky [D],Democrat
400361,CA,28,Aye,Rep. Adam Schiff [D],Democrat
400363,GA,13,Aye,Rep. David Scott [D],Democrat
400364,VA,3,Aye,Rep. Robert “Bobby” Scott [D],Democrat
400365,WI,5,No,Rep. James Sensenbrenner Jr. [R],Republican
400366,NY,15,Not Voting,Rep. José Serrano [D],Democrat
400371,CA,30,Aye,Rep. Brad Sherman [D],Democrat
400373,IL,15,No,Rep. John Shimkus [R],Republican
400376,ID,2,No,Rep. Michael “Mike” Simpson [R],Republican
400379,WA,9,Aye,Rep. Adam Smith [D],Democrat
400380,NJ,4,No,Rep. Christopher “Chris” Smith [R],Republican
400402,MS,2,Aye,Rep. Bennie Thompson [D],Democrat
400403,CA,5,Aye,Rep. Mike Thompson [D],Democrat
400404,TX,13,No,Rep. Mac Thornberry [R],Republican
400411,OH,10,No,Rep. Michael Turner [R],Republican
400414,MI,6,Aye,Rep. Fred Upton [R],Republican
400416,NY,7,Aye,Rep. Nydia Velázquez [D],Democrat
400417,IN,1,Aye,Rep. Peter Visclosky [D],Democrat
400419,OR,2,No,Rep. Greg Walden [R],Republican
400422,CA,43,Aye,Rep. Maxine Waters [D],Democrat
400433,SC,2,No,Rep. Joe Wilson [R],Republican
400440,AK,0,No,Rep. Don Young [R],Republican
400616,NC,1,Aye,Rep. George “G.K.” Butterfield Jr. [D],Democrat
400618,CA,16,Aye,Rep. Jim Costa [D],Democrat
400623,FL,23,Aye,Rep. Debbie Wasserman Schultz [D],Democrat
400630,IL,3,Aye,Rep. Daniel Lipinski [D],Democrat
400639,MO,5,Aye,Rep. Emanuel Cleaver II [D],Democrat
400640,NE,1,No,Rep. Jeff Fortenberry [R],Republican
400641,NY,26,Aye,Rep. Brian Higgins [D],Democrat
400643,NC,5,No,Rep. Virginia Foxx [R],Republican
400644,NC,10,No,Rep. Patrick McHenry [R],Republican
400651,TX,1,No,Rep. Louie Gohmert Jr. [R],Republican
400653,TX,9,Aye,Rep. Al Green [D],Democrat
400654,TX,10,No,Rep. Michael McCaul [R],Republican
400655,TX,11,No,Rep. Michael Conaway [R],Republican
400656,TX,24,Not Voting,Rep. Kenny Marchant [R],Republican
400657,TX,28,Aye,Rep. Henry Cuellar [D],Democrat
400659,WA,5,No,Rep. Cathy McMorris Rodgers [R],Republican
400661,WI,4,Aye,Rep. Gwen Moore [D],Democrat
400663,CA,6,Aye,Rep. Doris Matsui [D],Democrat
412186,NJ,8,Aye,Rep. Albio Sires [D],Democrat
412189,CA,9,Aye,Rep. Jerry McNerney [D],Democrat
412190,CA,23,No,Rep. Kevin McCarthy [R],Republican
412191,CO,5,No,Rep. Doug Lamborn [R],Republican
412192,CO,7,Aye,Rep. Ed Perlmutter [D],Democrat
412193,CT,2,Aye,Rep. Joe Courtney [D],Democrat
412195,FL,14,Aye,Rep. Kathy Castor [D],Democrat
412196,FL,16,No,Rep. Vern Buchanan [R],Republican
412199,GA,4,Aye,Rep. Henry “Hank” Johnson Jr. [D],Democrat
412209,IA,2,Aye,Rep. David Loebsack [D],Democrat
412211,KY,3,Aye,Rep. John Yarmuth [D],Democrat
412212,MD,3,Aye,Rep. John Sarbanes [D],Democrat
412213,MI,7,No,Rep. Tim Walberg [R],Republican
412217,NE,3,No,Rep. Adrian Smith [R],Republican
412221,NY,9,Aye,Rep. Yvette Clarke [D],Democrat
412226,OH,4,No,Rep. Jim Jordan [R],Republican
412236,TN,9,Aye,Rep. Steve Cohen [D],Democrat
412239,VT,0,Aye,Rep. Peter Welch [D],Democrat
412250,FL,12,No,Rep. Gus Bilirakis [R],Republican
412255,VA,1,No,Rep. Robert Wittman [R],Republican
412256,OH,5,No,Rep. Robert Latta [R],Republican
412257,IL,11,Aye,Rep. Bill Foster [D],Democrat
412258,IN,7,Aye,Rep. André Carson [D],Democrat
412259,CA,14,Aye,Rep. Jackie Speier [D],Democrat
412261,LA,1,No,Rep. Steve Scalise [R],Republican
412272,VA,11,Aye,Rep. Gerald Connolly [D],Democrat
412278,KY,2,No,Rep. Brett Guthrie [R],Republican
412282,CT,4,Aye,Rep. James Himes [D],Democrat
412283,CA,50,Aye,"Rep. Duncan Hunter [R, 2013-2020]",Republican
412286,AZ,2,Aye,Rep. Ann Kirkpatrick [D],Democrat
412292,MO,3,Aye,Rep. Blaine Luetkemeyer [R],Republican
412293,NM,3,Aye,Rep. Ben Luján [D],Democrat
412295,CA,4,No,Rep. Tom McClintock [R],Republican
412302,TX,22,No,Rep. Pete Olson [R],Republican
412307,ME,1,Aye,Rep. Chellie Pingree [D],Democrat
412309,FL,8,No,Rep. Bill Posey [R],Republican
