House Vote #69 2020-02-12T16:59:00 - H.R. 2546: Protecting America’s Wilderness Act
person,state,district,vote,name,party
400004,AL,4,Nay,Rep. Robert Aderholt [R],Republican
400029,UT,1,Nay,Rep. Rob Bishop [R],Republican
400030,GA,2,Yea,Rep. Sanford Bishop Jr. [D],Democrat
400033,OR,3,Yea,Rep. Earl Blumenauer [D],Democrat
400046,TX,8,Nay,Rep. Kevin Brady [R],Republican
400052,TX,26,Nay,Rep. Michael Burgess [R],Republican
400057,CA,42,Nay,Rep. Ken Calvert [R],Republican
400068,TX,31,Nay,Rep. John Carter [R],Republican
400069,HI,1,Yea,Rep. Ed Case [D],Democrat
400071,OH,1,Nay,Rep. Steve Chabot [R],Republican
400074,MO,1,Yea,Rep. Lacy Clay Jr. [D],Democrat
400075,SC,6,Yea,Rep. James “Jim” Clyburn [D],Democrat
400077,OK,4,Nay,Rep. Tom Cole [R],Republican
400081,TN,5,Yea,Rep. Jim Cooper [D],Democrat
400093,IL,7,Yea,Rep. Danny Davis [D],Democrat
400097,CA,53,Yea,Rep. Susan Davis [D],Democrat
400100,OR,4,Yea,Rep. Peter DeFazio [D],Democrat
400101,CO,1,Yea,Rep. Diana DeGette [D],Democrat
400103,CT,3,Yea,Rep. Rosa DeLauro [D],Democrat
400108,FL,25,Nay,Rep. Mario Diaz-Balart [R],Republican
400111,TX,35,Yea,Rep. Lloyd Doggett [D],Democrat
400114,PA,18,Yea,Rep. Michael “Mike” Doyle Jr. [D],Democrat
400122,NY,16,Yea,Rep. Eliot Engel [D],Democrat
400124,CA,18,Yea,Rep. Anna Eshoo [D],Democrat
400157,TX,12,Nay,Rep. Kay Granger [R],Republican
400158,MO,6,Nay,Rep. Sam Graves [R],Republican
400162,AZ,3,Yea,Rep. Raúl Grijalva [D],Democrat
400170,FL,20,Yea,Rep. Alcee Hastings [D],Democrat
400189,MD,5,Yea,Rep. Steny Hoyer [D],Democrat
400199,TX,18,Yea,Rep. Sheila Jackson Lee [D],Democrat
400204,TX,30,Yea,Rep. Eddie Johnson [D],Democrat
400211,OH,9,Yea,Rep. Marcy Kaptur [D],Democrat
400218,WI,3,Yea,Rep. Ron Kind [D],Democrat
400219,NY,2,Nay,Rep. Peter “Pete” King [R],Republican
400220,IA,4,Nay,Rep. Steve King [R],Republican
400230,RI,2,Yea,Rep. James “Jim” Langevin [D],Democrat
400232,WA,2,Yea,Rep. Rick Larsen [D],Democrat
400233,CT,1,Yea,Rep. John Larson [D],Democrat
400237,CA,13,Yea,Rep. Barbara Lee [D],Democrat
400240,GA,5,Not Voting,"Rep. John Lewis [D, 1987-2020]",Democrat
400245,CA,19,Yea,Rep. Zoe Lofgren [D],Democrat
400246,NY,17,Yea,Rep. Nita Lowey [D],Democrat
400247,OK,3,Nay,Rep. Frank Lucas [R],Republican
400249,MA,8,Yea,Rep. Stephen Lynch [D],Democrat
