"","GEOID","vote_index"
"1","0101",-0.4
"2","0102",-0.2
"3","0103",-0.3
"4","0104",-0.4
"5","0105",-0.4
"6","0106",-0.4
"7","0107",0.4
"8","0200",-0.4
"9","0401",0.4
"10","0402",0.4
"11","0403",0.4
"12","0404",-0.4
"13","0405",-0.4
"14","0406",-0.4
"15","0407",0.3
"16","0408",-0.4
"17","0409",0.4
"18","0501",-0.2
"19","0502",-0.4
"20","0503",-0.4
"21","0504",-0.4
"22","0601",-0.4
"23","0602",0.2
"24","0603",0.4
"25","0604",-0.4
"26","0605",0.4
"27","0606",0.4
"28","0607",0.4
"29","0608",-0.4
"30","0609",0.4
"31","0610",0.4
"32","0611",0.4
"33","0612",0.666666666666667
"34","0613",0.4
"35","0614",0.4
"36","0615",0.4
"37","0616",0.4
"38","0617",0.4
"39","0618",0.3
"40","0619",0.2
"41","0620",0.4
"42","0621",0.4
"43","0622",-0.4
"44","0623",-0.4
"45","0624",0.4
"46","0625",0.428571428571429
"47","0626",0.4
"48","0627",0.4
"49","0628",0.4
"50","0629",0.4
"51","0630",0.4
"52","0631",0.3
"53","0632",0.4
"54","0633",0.4
"55","0634",0.4
"56","0635",0.4
"57","0636",0.4
"58","0637",0.4
"59","0638",0.4
"60","0639",0.4
"61","0640",0.4
"62","0641",0.4
"63","0642",-0.4
"64","0643",0.4
"65","0644",0.4
"66","0645",0.4
"67","0646",0.4
"68","0647",0.4
"69","0648",0.2
"70","0649",0.4
"71","0650",-0.285714285714286
"72","0651",0.2
"73","0652",0.4
"74","0653",0.3
"75","0801",0.4
"76","0802",0.4
"77","0803",-0.4
"78","0804",-0.4
"79","0805",-0.4
"80","0806",0.4
"81","0807",0.4
"82","0901",0.4
"83","0902",0.4
"84","0903",0.4
"85","0904",0.4
"86","0905",0.4
"87","1000",0.4
"88","1201",-0.4
"89","1202",-0.4
"90","1203",-0.4
"91","1204",-0.4
"92","1205",0.4
"93","1206",-0.4
"94","1207",0.4
"95","1208",-0.4
"96","1209",0.4
"97","1210",0.4
"98","1211",-0.4
"99","1212",-0.4
"100","1213",0.4
"101","1214",0.4
"102","1215",-0.4
"103","1216",0
"104","1217",-0.4
"105","1218",-0.4
"106","1219",0
"107","1220",0.2
"108","1221",0.4
"109","1222",0.4
"110","1223",0.4
"111","1224",0.4
"112","1225",-0.4
"113","1226",0.4
"114","1227",0.4
"115","1301",-0.4
"116","1302",0.4
"117","1303",-0.4
"118","1304",0.4
"119","1305",0.4
"120","1306",0.4
"121","1307",-0.4
"122","1308",-0.4
"123","1309",-0.4
"124","1310",-0.3
"125","1311",-0.1
"126","1312",-0.4
"127","1313",0.4
"128","1314",-0.4
"129","1501",0.4
"130","1502",0.3
"131","1601",-0.4
"132","1602",-0.2
"133","1701",0.4
"134","1702",0.4
"135","1703",0.4
"136","1704",0.4
"137","1705",0.4
"138","1706",0.4
"139","1707",0.4
"140","1708",0.4
"141","1709",0.4
"142","1710",0.4
"143","1711",0.4
"144","1712",-0.4
"145","1713",-0.4
"146","1714",0.4
"147","1715",-0.4
"148","1716",-0.2
"149","1717",0.4
"150","1718",-0.4
"151","1801",0.4
"152","1802",-0.4
"153","1803",-0.4
"154","1804",-0.4
"155","1805",-0.4
"156","1806",-0.4
"157","1807",0.4
"158","1808",-0.4
"159","1809",-0.4
"160","1901",0.4
"161","1902",0.4
"162","1903",0.4
"163","1904",-0.4
"164","2001",-0.3
"165","2002",-0.4
"166","2003",0.4
"167","2004",-0.4
"168","2101",-0.4
"169","2102",-0.4
"170","2103",0.4
"171","2104",-0.4
"172","2105",-0.4
"173","2106",-0.4
"174","2201",-0.4
"175","2202",0.4
"176","2203",-0.4
"177","2204",-0.4
"178","2205",-0.2
"179","2206",-0.4
"180","2301",0.4
"181","2302",0.4
"182","2401",-0.4
"183","2402",0.4
"184","2403",0.4
"185","2404",0.4
"186","2405",0.4
"187","2406",0.4
"188","2407",0.333333333333333
"189","2408",0.4
"190","2501",0.4
"191","2502",0.4
"192","2503",0.4
"193","2504",0.4
"194","2505",0.4
"195","2506",0.4
"196","2507",0.2
"197","2508",0.4
"198","2509",0.4
"199","2601",-0.4
"200","2602",-0.4
"201","2603",-0.4
"202","2604",-0.4
"203","2605",0.4
"204","2606",0
"205","2607",-0.3
"206","2608",0.4
"207","2609",0.4
"208","2610",-0.3
"209","2611",0.4
"210","2612",0.4
"211","2613",0.2
"212","2614",0.4
"213","2701",-0.4
"214","2702",0.4
"215","2703",0.4
"216","2704",0.4
"217","2705",0.3
"218","2706",-0.4
"219","2707",0.4
"220","2708",-0.4
"221","2801",-0.4
"222","2802",0.1
"223","2803",-0.4
"224","2804",-0.4
"225","2901",0.4
"226","2902",-0.1
"227","2903",-0.2
"228","2904",-0.4
"229","2905",0.4
"230","2906",-0.2
"231","2907",-0.2
"232","2908",-0.4
"233","3000",-0.4
"234","3101",-0.4
"235","3102",-0.4
"236","3103",-0.4
"237","3201",0.2
"238","3202",-0.4
"239","3203",0.4
"240","3204",0.4
"241","3301",0.4
"242","3302",0.4
"243","3401",0.4
"244","3402",0.4
"245","3403",0.4
"246","3404",-0.2
"247","3405",0.4
"248","3406",0.4
"249","3407",0.4
"250","3408",0.3
"251","3409",0.4
"252","3410",0.4
"253","3411",0.3
"254","3412",0.4
"255","3501",0.4
"256","3502",0.4
"257","3503",0.4
"258","3601",-0.4
"259","3602",-0.4
"260","3603",0.4
"261","3604",0.4
"262","3605",0.4
"263","3606",0.4
"264","3607",0.4
"265","3608",0.4
"266","3609",0.4
"267","3610",0.4
"268","3611",0.4
"269","3612",0.4
"270","3613",0.4
"271","3614",0.2
"272","3615",0.3
"273","3616",0.4
"274","3617",0.3
"275","3618",0.4
"276","3619",0.4
"277","3620",0.4
"278","3621",0.2
"279","3622",0.4
"280","3623",-0.2
"281","3624",-0.2
"282","3625",0.4
"283","3626",0.4
"284","3627",-0.4
"285","3701",0.4
"286","3702",-0.4
"287","3703",-0.333333333333333
"288","3704",0.4
"289","3705",-0.4
"290","3706",-0.4
"291","3707",-0.4
"292","3708",-0.3
"293","3709",-0.4
"294","3710",-0.4
"295","3711",-0.444444444444444
"296","3712",0.2
"297","3713",-0.4
"298","3800",-0.4
"299","3901",-0.4
"300","3902",-0.4
"301","3903",0.3
"302","3904",-0.4
"303","3905",-0.4
"304","3906",-0.4
"305","3907",-0.4
"306","3908",-0.4
"307","3909",0.4
"308","3910",-0.4
"309","3911",0.2
"310","3912",-0.4
"311","3913",0.4
"312","3914",-0.4
"313","3915",-0.4
"314","3916",-0.4
"315","4001",-0.4
"316","4002",-0.4
"317","4003",-0.4
"318","4004",-0.4
"319","4005",0.4
"320","4101",0.4
"321","4102",-0.4
"322","4103",0.4
"323","4104",0.4
"324","4105",0.4
"325","4201",0.4
"326","4202",0.4
"327","4203",0.4
"328","4204",0.4
"329","4205",0.4
"330","4206",0.4
"331","4207",0.4
"332","4208",0.4
"333","4209",-0.4
"334","4210",-0.4
"335","4211",-0.4
"336","4212",-0.25
"337","4213",-0.4
"338","4214",-0.4
"339","4215",-0.4
"340","4216",-0.4
"341","4217",0.4
"342","4218",0.4
"343","4401",0.4
"344","4402",0.4
"345","4501",0.4
"346","4502",-0.4
"347","4503",-0.4
"348","4504",-0.2
"349","4505",-0.3
"350","4506",0.4
"351","4507",-0.4
"352","4600",-0.4
"353","4701",-0.4
"354","4702",-0.4
"355","4703",-0.4
"356","4704",-0.3
"357","4705",0.4
"358","4706",-0.3
"359","4707",-0.4
"360","4708",-0.4
"361","4709",0.4
"362","4801",-0.4
"363","4802",-0.4
"364","4803",-0.4
"365","4804",-0.444444444444444
"366","4805",-0.4
"367","4806",-0.4
"368","4807",0.4
"369","4808",-0.3
"370","4809",0.4
"371","4810",-0.4
"372","4811",-0.4
"373","4812",-0.4
"374","4813",-0.4
"375","4814",-0.4
"376","4815",0.4
"377","4816",0.4
"378","4817",-0.3
"379","4818",0.4
"380","4819",-0.4
"381","4820",0.4
"382","4821",-0.4
"383","4822",-0.4
"384","4823",-0.4
"385","4824",-0.3
"386","4825",-0.4
"387","4826",-0.4
"388","4827",-0.4
"389","4828",0.4
"390","4829",0.4
"391","4830",0.4
"392","4831",-0.4
"393","4832",0.4
"394","4833",0.4
"395","4834",0.4
"396","4835",0.4
"397","4836",-0.4
"398","4901",-0.4
"399","4902",-0.4
"400","4903",-0.4
"401","4904",0.2
"402","5000",0.4
"403","5101",-0.4
"404","5102",0.4
"405","5103",0.4
"406","5104",0.2
"407","5105",-0.4
"408","5106",-0.4
"409","5107",0.4
"410","5108",0.4
"411","5109",-0.4
"412","5110",0.4
"413","5111",0.4
